City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,pangai,-19.8,-174.35,24.06,100,100,7.2,TO,Mon Nov 13 07:05:59 2023
154,jining,35.405,116.5814,4.36,27,91,2.06,CN,Mon Nov 13 07:06:00 2023
155,znamenskoye,57.1281,73.8282,0.8,95,100,1.92,RU,Mon Nov 13 07:06:01 2023
156,gobabis,-22.45,18.9667,34.15,12,85,3.77,NA,Mon Nov 13 07:06:02 2023
157,makoua,0.0069,15.6333,29.97,59,95,1.3,CG,Mon Nov 13 07:06:03 2023
158,rodolfo sanchez taboada,31.7167,-116.5667,16.18,36,2,1.4,MX,Mon Nov 13 07:06:04 2023
159,ceeldheer,3.8488,47.1806,29.96,64,76,5.54,SO,Mon Nov 13 07:06:05 2023
160,obo,5.3998,26.4869,29.44,63,20,0.46,CF,Mon Nov 13 07:06:06 2023
161,cururupu,-1.8283,-44.8683,30.77,55,22,3.15,BR,Mon Nov 13 07:06:07 2023
162,tralee,52.2704,-9.7026,13.14,76,75,8.23,IE,Mon Nov 13 07:04:53 2023
163,vernon,50.2581,-119.2691,4.34,82,100,1.03,CA,Mon Nov 13 07:06:09 2023
164,lospalos,-8.5186,127.0025,23.26,91,83,1.98,TL,Mon Nov 13 07:06:09 2023
165,crane,31.3974,-102.3501,11.18,88,100,4.28,US,Mon Nov 13 07:06:10 2023
166,uturoa,-16.7333,-151.4333,27.18,77,48,1.55,PF,Mon Nov 13 07:06:11 2023
167,viedma,-40.8135,-62.9967,17.48,16,0,4.92,AR,Mon Nov 13 07:06:11 2023
168,vinh yen,21.31,105.5967,16.97,86,100,1.01,VN,Mon Nov 13 07:06:12 2023
169,saldanha,-33.0117,17.9442,30.03,58,100,7.44,ZA,Mon Nov 13 07:06:13 2023
170,punta arenas,-53.15,-70.9167,7.01,81,75,6.69,CL,Mon Nov 13 07:06:14 2023
171,susuman,62.7833,148.1667,-32.2,99,60,0.47,RU,Mon Nov 13 07:06:15 2023
172,jucas,-6.5253,-39.5275,31.56,43,2,2.03,BR,Mon Nov 13 07:06:16 2023
173,artemovskiy,57.3555,61.8686,1.74,86,100,3.04,RU,Mon Nov 13 07:06:16 2023
174,south hedland,-20.4089,118.5983,25.96,78,72,6.17,AU,Mon Nov 13 07:06:17 2023
175,garoua,9.3,13.4,35.22,41,20,1.54,CM,Mon Nov 13 07:06:18 2023
176,al kharijah,25.4514,30.5464,32.46,26,37,5.44,EG,Mon Nov 13 07:06:18 2023
177,akureyri,65.6835,-18.0878,1.96,69,75,1.54,IS,Mon Nov 13 07:06:19 2023
178,touros,-5.1989,-35.4608,29.39,60,99,4.94,BR,Mon Nov 13 07:06:20 2023
179,vilyuysk,63.7553,121.6247,-17.22,94,92,1.79,RU,Mon Nov 13 07:06:20 2023
180,st. john's,47.5649,-52.7093,-0.02,81,100,4.12,CA,Mon Nov 13 07:06:10 2023
181,schlusselfeld,49.7667,10.6333,10.02,91,100,2.68,DE,Mon Nov 13 07:06:22 2023
182,kauhajoki,62.4333,22.1833,-3.01,93,100,1.34,FI,Mon Nov 13 07:06:23 2023
183,naze,28.3667,129.4833,15.51,63,97,6.48,JP,Mon Nov 13 07:06:24 2023
184,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,Mon Nov 13 07:06:25 2023
185,axim,4.8699,-2.2405,28.42,77,22,3.22,GH,Mon Nov 13 07:06:26 2023
186,lata,40.1629,-8.3327,19.49,78,70,2.43,PT,Mon Nov 13 07:06:27 2023
187,ponta delgada,37.7333,-25.6667,21.4,88,75,3.6,PT,Mon Nov 13 07:06:28 2023
188,sur,22.5667,59.5289,27.39,42,35,3.79,OM,Mon Nov 13 07:06:28 2023
189,morant bay,17.8815,-76.4093,27.79,81,22,5.26,JM,Mon Nov 13 07:06:29 2023
190,new norfolk,-42.7826,147.0587,13.29,72,42,3.0,AU,Mon Nov 13 07:06:30 2023
191,saipan,15.1355,145.701,28.39,83,40,5.14,MP,Mon Nov 13 07:06:31 2023
192,badger,64.8,-147.5333,-6.27,90,100,2.57,US,Mon Nov 13 07:06:31 2023
193,tabuk,17.4189,121.4443,23.29,91,37,2.77,PH,Mon Nov 13 07:06:32 2023
194,el galpon,-25.3807,-64.6526,18.37,79,100,2.84,AR,Mon Nov 13 07:06:33 2023
195,weno,7.4515,151.8468,25.97,94,100,1.54,FM,Mon Nov 13 07:06:34 2023
196,volodarskiy,46.4013,48.5409,14.99,60,96,2.48,RU,Mon Nov 13 07:06:35 2023
197,shitanjing,39.2342,106.3439,-0.04,27,47,0.38,CN,Mon Nov 13 07:06:36 2023
198,cambria,35.5641,-121.0808,15.9,65,100,0.71,US,Mon Nov 13 07:06:37 2023
199,lakatoro,-16.0999,167.4164,24.82,79,99,5.54,VU,Mon Nov 13 07:06:38 2023
200,qaqortoq,60.7167,-46.0333,-6.36,87,70,1.36,GL,Mon Nov 13 07:06:39 2023
201,colonia,50.9333,6.95,15.23,89,0,5.14,DE,Mon Nov 13 07:01:44 2023
202,kanniyakumari,8.0833,77.5667,28.63,71,95,4.52,IN,Mon Nov 13 07:06:40 2023
203,remire-montjoly,4.9167,-52.2667,30.02,70,75,4.63,GF,Mon Nov 13 07:06:41 2023
204,mangalia,43.8,28.5833,12.55,46,98,3.05,RO,Mon Nov 13 07:06:42 2023
205,stanley,54.868,-1.6985,9.84,92,75,5.14,GB,Mon Nov 13 07:04:31 2023
206,porto velho,-8.7619,-63.9039,27.03,83,20,1.03,BR,Mon Nov 13 07:06:44 2023
207,chos malal,-37.3781,-70.2709,10.78,45,0,3.63,AR,Mon Nov 13 07:06:44 2023
208,sydney,-33.8679,151.2073,19.84,70,63,2.68,AU,Mon Nov 13 06:55:21 2023
209,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,Mon Nov 13 07:06:46 2023
210,saint-denis,48.9167,2.3333,16.77,90,100,8.75,FR,Mon Nov 13 07:06:47 2023
211,nabire,-3.3667,135.4833,26.0,87,7,1.9,ID,Mon Nov 13 07:06:47 2023
212,barranco de loba,8.946,-74.1065,24.99,98,100,0.58,CO,Mon Nov 13 07:06:48 2023
213,maracalagonis,39.2872,9.2275,23.95,59,20,2.06,IT,Mon Nov 13 07:06:49 2023
214,taltal,-25.4,-70.4833,17.3,69,36,1.85,CL,Mon Nov 13 07:06:50 2023
215,calvinia,-31.4707,19.776,29.07,11,3,2.76,ZA,Mon Nov 13 07:06:51 2023
216,porto torres,40.835,8.3972,22.1,72,37,7.46,IT,Mon Nov 13 07:06:52 2023
217,chonchi,-42.6128,-73.8092,9.51,95,100,3.11,CL,Mon Nov 13 07:02:53 2023
218,usinsk,65.9939,57.5281,-12.74,96,95,4.92,RU,Mon Nov 13 07:06:54 2023
219,vizinga,61.0749,50.1031,0.87,97,100,4.68,RU,Mon Nov 13 07:06:55 2023
220,sinop,41.7711,34.8709,14.24,66,100,2.53,TR,Mon Nov 13 07:06:56 2023
221,barah,13.7,30.3667,37.41,18,23,4.25,SD,Mon Nov 13 07:06:56 2023
222,masterton,-40.9597,175.6575,13.27,75,15,4.62,NZ,Mon Nov 13 07:06:57 2023
223,pohang,36.0322,129.365,3.36,60,0,4.06,KR,Mon Nov 13 07:06:57 2023
224,mount pearl,47.5166,-52.7813,-0.48,81,100,4.12,CA,Mon Nov 13 07:02:25 2023
225,beau vallon,-20.4189,57.6953,27.9,68,37,2.22,MU,Mon Nov 13 07:06:59 2023
226,dame-marie,18.5667,-74.4167,26.75,77,17,0.56,HT,Mon Nov 13 07:06:59 2023
227,rancho murieta,38.5019,-121.0947,15.11,84,40,2.06,US,Mon Nov 13 07:07:00 2023
228,tura,25.5198,90.2201,20.41,83,9,1.42,IN,Mon Nov 13 07:07:00 2023
229,jinan,36.6683,116.9972,5.85,27,100,2.19,CN,Mon Nov 13 07:07:01 2023
230,bardai,11.65,7.2333,33.0,12,53,5.98,NG,Mon Nov 13 07:07:02 2023
231,kuqa,41.7278,82.9364,7.84,39,15,2.91,CN,Mon Nov 13 07:07:03 2023
232,noyon,49.5833,3.0,15.59,87,100,9.63,FR,Mon Nov 13 07:07:04 2023
233,varadero,23.1536,-81.2514,24.42,79,57,7.64,CU,Mon Nov 13 07:04:00 2023
234,pisco,-13.7,-76.2167,19.03,88,100,2.06,PE,Mon Nov 13 07:07:06 2023
235,novoishimskiy,53.1981,66.7694,4.82,86,88,3.97,KZ,Mon Nov 13 07:07:07 2023
236,panaba,21.2833,-88.2667,23.48,96,31,2.74,MX,Mon Nov 13 07:07:08 2023
237,arraial do cabo,-22.9661,-42.0278,30.98,70,0,4.12,BR,Mon Nov 13 07:02:42 2023
238,kralendijk,12.15,-68.2667,28.99,79,40,6.17,BQ,Mon Nov 13 07:07:09 2023
239,hopelchen,19.7667,-89.85,23.5,92,64,1.88,MX,Mon Nov 13 07:07:10 2023
240,wainwright,52.839,-110.8572,-0.41,57,95,6.0,CA,Mon Nov 13 07:07:11 2023
241,bodaybo,57.8506,114.1933,-13.95,89,99,0.83,RU,Mon Nov 13 07:07:11 2023
242,marignier,46.0901,6.5,12.51,94,100,3.13,FR,Mon Nov 13 07:07:13 2023
243,bayanhongor,46.7167,100.1167,-13.93,68,68,1.7,MN,Mon Nov 13 07:07:14 2023
244,bridgewater,44.3835,-64.5155,-2.43,85,11,1.48,CA,Mon Nov 13 07:07:15 2023
245,dara,15.3484,-15.4799,36.76,9,44,5.41,SN,Mon Nov 13 07:07:16 2023
246,abong mbang,3.9833,13.1833,21.67,97,100,1.42,CM,Mon Nov 13 07:07:17 2023
247,smithers,54.7804,-127.1743,-0.82,93,100,1.03,CA,Mon Nov 13 07:07:18 2023
248,monze,-16.2833,27.4833,34.08,19,35,4.31,ZM,Mon Nov 13 07:07:19 2023
249,georgetown,5.4112,100.3354,28.96,79,20,1.54,MY,Mon Nov 13 07:07:20 2023
250,turpan,42.9333,89.1667,10.08,26,100,2.31,CN,Mon Nov 13 07:07:21 2023
251,ndele,8.4109,20.6473,30.86,55,90,1.07,CF,Mon Nov 13 07:07:22 2023
252,acarau,-2.8856,-40.12,29.77,61,77,7.04,BR,Mon Nov 13 07:07:23 2023
253,emerald,-23.5333,148.1667,25.19,44,1,6.58,AU,Mon Nov 13 07:07:25 2023
254,vadso,70.0744,29.7487,-6.51,93,75,4.12,NO,Mon Nov 13 07:07:26 2023
255,luderitz,-26.6481,15.1594,25.65,48,0,10.17,NA,Mon Nov 13 07:07:27 2023
256,tabou,4.423,-7.3528,28.63,74,31,2.6,CI,Mon Nov 13 07:07:28 2023
257,island harbour,50.724,-1.2758,16.07,78,70,4.47,GB,Mon Nov 13 07:07:28 2023
258,askoy,60.4092,5.226,7.64,75,75,2.06,NO,Mon Nov 13 07:07:30 2023
259,howard springs,-12.497,131.047,26.95,84,48,2.32,AU,Mon Nov 13 07:07:31 2023
260,dalaguete,9.7612,123.5349,27.11,86,38,2.78,PH,Mon Nov 13 07:07:32 2023
261,dawson creek,55.7666,-120.2362,-2.2,93,100,4.12,CA,Mon Nov 13 07:07:34 2023
262,pingliang,35.5392,106.6861,3.46,61,29,1.29,CN,Mon Nov 13 07:07:35 2023
263,puerto armuelles,8.2833,-82.8667,27.27,84,96,3.13,PA,Mon Nov 13 07:07:37 2023
264,sittwe,20.15,92.9,26.57,76,28,3.98,MM,Mon Nov 13 07:07:38 2023
265,ranikhet,29.65,79.4167,11.05,71,39,1.24,IN,Mon Nov 13 07:07:40 2023
266,broken hill,-31.95,141.4333,22.88,24,94,5.67,AU,Mon Nov 13 07:07:40 2023
267,alaghsas,17.0187,8.0168,33.21,7,2,6.33,NE,Mon Nov 13 07:07:41 2023
268,silao,20.9333,-101.4333,14.21,47,40,0.0,MX,Mon Nov 13 07:07:43 2023
269,bykovo,55.6361,38.0803,3.85,81,75,8.05,RU,Mon Nov 13 07:07:45 2023
270,madang,-5.2246,145.7966,25.44,89,92,2.34,PG,Mon Nov 13 07:07:47 2023
271,veraval,20.9,70.3667,29.84,38,91,0.5,IN,Mon Nov 13 07:07:48 2023
